FIELDNAME,INTTYPE,LENG,DECIMALS,DOMNAME,ROLLNAME,FIELDTEXT
LALE01,C,000120,000000,CHAR120,CHAR120,char120
LALE02,C,000120,000000,CHAR120,CHAR120,char120
LALE03,C,000120,000000,CHAR120,CHAR120,char120
LALE04,C,000120,000000,CHAR120,CHAR120,char120
LALE05,C,000120,000000,CHAR120,CHAR120,char120
LALE06,C,000120,000000,CHAR120,CHAR120,char120
LALE07,C,000120,000000,CHAR120,CHAR120,char120
LALE08,C,000120,000000,CHAR120,CHAR120,char120
LALE09,C,000120,000000,CHAR120,CHAR120,char120
LALE10,C,000120,000000,CHAR120,CHAR120,char120
LALE11,C,000120,000000,CHAR120,CHAR120,char120
LALE12,C,000120,000000,CHAR120,CHAR120,char120
LALE13,C,000120,000000,CHAR120,CHAR120,char120
LALE14,C,000120,000000,CHAR120,CHAR120,char120
LALE15,C,000120,000000,CHAR120,CHAR120,char120
LALE16,C,000120,000000,CHAR120,CHAR120,char120
LALE17,C,000120,000000,CHAR120,CHAR120,char120
LALE18,C,000120,000000,CHAR120,CHAR120,char120
LALE19,C,000120,000000,CHAR120,CHAR120,char120
LALE20,C,000120,000000,CHAR120,CHAR120,char120
LALE21,C,000120,000000,CHAR120,CHAR120,char120
LALE22,C,000120,000000,CHAR120,CHAR120,char120
LALE23,C,000120,000000,CHAR120,CHAR120,char120
LALE24,C,000120,000000,CHAR120,CHAR120,char120
LALE25,C,000120,000000,CHAR120,CHAR120,char120
LALE26,C,000120,000000,CHAR120,CHAR120,char120
LALF01,C,000120,000000,CHAR120,CHAR120,char120
LALF02,C,000120,000000,CHAR120,CHAR120,char120
LALF03,C,000120,000000,CHAR120,CHAR120,char120
LALF04,C,000120,000000,CHAR120,CHAR120,char120
LALF05,C,000120,000000,CHAR120,CHAR120,char120
LALF06,C,000120,000000,CHAR120,CHAR120,char120
LALF07,C,000120,000000,CHAR120,CHAR120,char120
LALF08,C,000120,000000,CHAR120,CHAR120,char120
LALF09,C,000120,000000,CHAR120,CHAR120,char120
LALF10,C,000120,000000,CHAR120,CHAR120,char120
LALF11,C,000120,000000,CHAR120,CHAR120,char120
LALF12,C,000120,000000,CHAR120,CHAR120,char120
LALF13,C,000120,000000,CHAR120,CHAR120,char120
LALF14,C,000120,000000,CHAR120,CHAR120,char120
