_TREE_TYPE,_TREE_ID,NODE_ID,PARENT_ID,NODE_TYPE
PAYM,/CGI_XML_CT_UNESCO,N_4008221280,N_0693479130,ELEM
PAYM,/CGI_XML_CT_UNESCO,N_4025073060,N_8311560080,ELEM
PAYM,/CGI_XML_CT_UNESCO,N_4036970840,N_4634017880,TECH
PAYM,/CGI_XML_CT_UNESCO,N_4049428870,N_3842760480,ELEM
PAYM,/CGI_XML_CT_UNESCO,N_4082185680,N_5064979580,ELEM
PAYM,/CGI_XML_CT_UNESCO,N_4085486390,N_2652175830,ELEM
PAYM,/CGI_XML_CT_UNESCO,N_4090082790,N_5207120400,ELEM
PAYM,/CGI_XML_CT_UNESCO,N_4096553850,N_9413293970,ELEM
PAYM,/CGI_XML_CT_UNESCO,N_4134359650,N_1935991060,XMAT
PAYM,/CGI_XML_CT_UNESCO,N_4163092720,N_5392001640,ELEM
PAYM,/CGI_XML_CT_UNESCO,N_4200790340,N_1139283400,TECH
PAYM,/CGI_XML_CT_UNESCO,N_4220290120,N_2329002840,ELEM
PAYM,/CGI_XML_CT_UNESCO,N_4255875310,N_2760349120,TECH
PAYM,/CGI_XML_CT_UNESCO,N_4259075460,N_3346275370,ELEM
PAYM,/CGI_XML_CT_UNESCO,N_4322007760,N_1139283400,TECH
PAYM,/CGI_XML_CT_UNESCO,N_4328841910,N_7469163780,ELEM
PAYM,/CGI_XML_CT_UNESCO,N_4344465660,N_5752579380,ATOM
PAYM,/CGI_XML_CT_UNESCO,N_4355972490,N_9053867800,XMAT
PAYM,/CGI_XML_CT_UNESCO,N_4357792560,N_3541914060,ELEM
PAYM,/CGI_XML_CT_UNESCO,N_4360444640,N_1139283400,ELEM
PAYM,/CGI_XML_CT_UNESCO,N_4409502400,N_5207120400,ELEM
PAYM,/CGI_XML_CT_UNESCO,N_4451446130,N_0547606300,ELEM
PAYM,/CGI_XML_CT_UNESCO,N_4527289930,N_0659954610,ELEM
PAYM,/CGI_XML_CT_UNESCO,N_4552163620,N_4360444640,TECH
PAYM,/CGI_XML_CT_UNESCO,N_4582813190,N_3842760480,TECH
PAYM,/CGI_XML_CT_UNESCO,N_4587655900,N_1139283400,TECH
PAYM,/CGI_XML_CT_UNESCO,N_4592179550,N_0330017550,ELEM
PAYM,/CGI_XML_CT_UNESCO,N_4616835930,N_8337240420,ELEM
PAYM,/CGI_XML_CT_UNESCO,N_4625526530,N_3346275370,TECH
PAYM,/CGI_XML_CT_UNESCO,N_4634017880,N_0377008530,ELEM
PAYM,/CGI_XML_CT_UNESCO,N_4641247600,N_6620186670,ELEM
PAYM,/CGI_XML_CT_UNESCO,N_4647535410,N_4981086760,TECH
PAYM,/CGI_XML_CT_UNESCO,N_4649341260,N_6294588020,ELEM
PAYM,/CGI_XML_CT_UNESCO,N_4653624170,N_5163414480,ELEM
PAYM,/CGI_XML_CT_UNESCO,N_4664202220,N_2760349120,ELEM
PAYM,/CGI_XML_CT_UNESCO,N_4689323380,N_3842760480,ELEM
PAYM,/CGI_XML_CT_UNESCO,N_4733628880,N_1235564610,TECH
PAYM,/CGI_XML_CT_UNESCO,N_4764391820,N_1139283400,TECH
PAYM,/CGI_XML_CT_UNESCO,N_4775797650,N_6582554760,TECH
PAYM,/CGI_XML_CT_UNESCO,N_4795854920,N_1139283400,ELEM
PAYM,/CGI_XML_CT_UNESCO,N_4828117130,N_2689587420,ATOM
PAYM,/CGI_XML_CT_UNESCO,N_4860828040,N_0377008530,ELEM
PAYM,/CGI_XML_CT_UNESCO,N_4887317080,N_2851824500,ELEM
PAYM,/CGI_XML_CT_UNESCO,N_4897568180,N_5163414480,TECH
PAYM,/CGI_XML_CT_UNESCO,N_4912042680,N_1139283400,TECH
PAYM,/CGI_XML_CT_UNESCO,N_4915621020,N_3816618790,ELEM
PAYM,/CGI_XML_CT_UNESCO,N_4920858270,N_7978288280,ELEM
PAYM,/CGI_XML_CT_UNESCO,N_4930059160,N_4360444640,TECH
PAYM,/CGI_XML_CT_UNESCO,N_4932617300,N_3816618790,ELEM
PAYM,/CGI_XML_CT_UNESCO,N_4940743290,N_3697641060,ELEM
PAYM,/CGI_XML_CT_UNESCO,N_4972853960,N_8251018140,ELEM
PAYM,/CGI_XML_CT_UNESCO,N_4981086760,N_1139283400,ELEM
PAYM,/CGI_XML_CT_UNESCO,N_5001810570,N_1138692080,ELEM
PAYM,/CGI_XML_CT_UNESCO,N_5023885600,N_5443906990,TECH
PAYM,/CGI_XML_CT_UNESCO,N_5029480180,N_2089048150,ELEM
PAYM,/CGI_XML_CT_UNESCO,N_5035180610,N_5001810570,ELEM
PAYM,/CGI_XML_CT_UNESCO,N_5064979580,N_1139283400,ELEM
PAYM,/CGI_XML_CT_UNESCO,N_5065399950,N_0287089780,ELEM
PAYM,/CGI_XML_CT_UNESCO,N_5099563850,N_7469163780,ELEM
PAYM,/CGI_XML_CT_UNESCO,N_5111903750,N_6294588020,TECH
PAYM,/CGI_XML_CT_UNESCO,N_5115302920,N_1138692080,ELEM
PAYM,/CGI_XML_CT_UNESCO,N_5146436490,N_5166812020,ELEM
PAYM,/CGI_XML_CT_UNESCO,N_5163414480,N_4360444640,ELEM
PAYM,/CGI_XML_CT_UNESCO,N_5166812020,N_5720024450,ELEM
PAYM,/CGI_XML_CT_UNESCO,N_5178421490,N_4082185680,ELEM
PAYM,/CGI_XML_CT_UNESCO,N_5181352440,N_3816618790,TECH
PAYM,/CGI_XML_CT_UNESCO,N_5182904290,N_6620186670,ELEM
PAYM,/CGI_XML_CT_UNESCO,N_5206513830,N_3842760480,ELEM
PAYM,/CGI_XML_CT_UNESCO,N_5207120400,N_3816618790,ELEM
PAYM,/CGI_XML_CT_UNESCO,N_5232254790,N_1429031250,XMAT
PAYM,/CGI_XML_CT_UNESCO,N_5238599170,N_5749715530,ELEM
PAYM,/CGI_XML_CT_UNESCO,N_5240096370,N_9195885710,ELEM
