TREE_ID,NODE_ID,CK_EXIT_FUNC,MP_CONST,PARENT_ID,_tree_id,NODE_TYPE,TREE_TYPE,MP_SC_FLD,TECH_NAME,MP_SC_TAB,MP_EXIT_FUNC
/SEPA_CT_UNES                 ,N_9746682670,,                                                                                                                                    ,N_1761132200,/SEPA_CT_UNES,ATOM,PAYM,NAMEZ                         ,NAMEZ                                             ,FPAYHX                        ,                              
/SEPA_CT_UNES                 ,N_9866937420,,                                                                                                                                    ,N_9218834580,/SEPA_CT_UNES,ATOM,PAYM,ZNME1                         ,ZNME1                                             ,FPAYH                         ,                              
/SEPA_CT_UNES                 ,N_9926185740,,                                                                                                                                    ,N_9481469990,/SEPA_CT_UNES,ELEM,PAYM,                              ,PstlAdr                                           ,                              ,                              
/SEPA_CT_UNES                 ,N_9961450310,,                                                                                                                                    ,N_7251154690,/SEPA_CT_UNES,ELEM,PAYM,                              ,GrpHdr                                            ,                              ,                              
/CITI/XML/UNESCO/DC_V3_01     ,N_0008380520,,                                                                                                                                    ,N_6140636800,/CITI/XML/UNESCO/DC_V3_01,TECH,PAYM,                              ,Tax_RegRep                                        ,                              ,                              
/CITI/XML/UNESCO/DC_V3_01     ,N_0018303920,,                                                                                                                                    ,N_7338969980,/CITI/XML/UNESCO/DC_V3_01,ELEM,PAYM,CHQ_DLVRYMTD_CD               ,Cd                                                ,FPAYHX                        ,                              
/CITI/XML/UNESCO/DC_V3_01     ,N_0019244370,,                                                                                                                                    ,N_9936481660,/CITI/XML/UNESCO/DC_V3_01,ATOM,PAYM,DATLO                         ,MM                                                ,SYST                          ,                              
/CITI/XML/UNESCO/DC_V3_01     ,N_0020233900,,                                                                                                                                    ,N_3511983780,/CITI/XML/UNESCO/DC_V3_01,ATOM,PAYM,                              ,Housenum                                          ,                              ,                              
/CITI/XML/UNESCO/DC_V3_01     ,N_0028766120,,                                                                                                                                    ,N_8573175080,/CITI/XML/UNESCO/DC_V3_01,ELEM,PAYM,                              ,Rcrd                                              ,                              ,                              
/CITI/XML/UNESCO/DC_V3_01     ,N_0042279290,,WHT                                                                                                                                 ,N_0428349720,/CITI/XML/UNESCO/DC_V3_01,ELEM,PAYM,                              ,Rsn                                               ,                              ,                              
/CITI/XML/UNESCO/DC_V3_01     ,N_0044185880,,                                                                                                                                    ,N_7583595070,/CITI/XML/UNESCO/DC_V3_01,ATOM,PAYM,                              ,ZNME1                                             ,                              ,/CITIPMW/V3_EXIT_CGI_CRED_NAME
/CITI/XML/UNESCO/DC_V3_01     ,N_0063647580,,                                                                                                                                    ,N_6528960200,/CITI/XML/UNESCO/DC_V3_01,ELEM,PAYM,LAND1                         ,CtryOfRes                                         ,FPAYHX                        ,                              
/CITI/XML/UNESCO/DC_V3_01     ,N_0081253400,,                                                                                                                                    ,N_6140636800,/CITI/XML/UNESCO/DC_V3_01,ELEM,PAYM,                              ,IntrmyAgt1Acct                                    ,                              ,                              
/CITI/XML/UNESCO/DC_V3_01     ,N_0106851140,,                                                                                                                                    ,N_5206936540,/CITI/XML/UNESCO/DC_V3_01,ELEM,PAYM,                              ,FrToDt                                            ,                              ,                              
/CITI/XML/UNESCO/DC_V3_01     ,N_0122616910,,                                                                                                                                    ,N_5541821410,/CITI/XML/UNESCO/DC_V3_01,ELEM,PAYM,LALA20                        ,AddtlInf                                          ,FPAYHX                        ,                              
/CITI/XML/UNESCO/DC_V3_01     ,N_0135184830,,                                                                                                                                    ,N_0913509980,/CITI/XML/UNESCO/DC_V3_01,ELEM,PAYM,                              ,FrDt                                              ,                              ,                              
/CITI/XML/UNESCO/DC_V3_01     ,N_0183508170,,                                                                                                                                    ,N_7464703350,/CITI/XML/UNESCO/DC_V3_01,ATOM,PAYM,AUSFD                         ,MM                                                ,FPAYH                         ,                              
