TREE_ID,MP_CONST,NODE_TYPE,MP_SC_FLD,NODE_ID,TECH_NAME,_tree_id,PARENT_ID,TREE_TYPE,MP_SC_TAB
/CITI/XML/UNESCO/DC_V3_01     ,,ELEM,LALA18                        ,N_5404751540,AddtlInf                                          ,/CITI/XML/UNESCO/DC_V3_01,N_4323493040,PAYM,FPAYHX                        
/CITI/XML/UNESCO/DC_V3_01     ,,TECH,LAUFI                         ,N_5405523760,HR_Payment                                        ,/CITI/XML/UNESCO/DC_V3_01,N_8438358070,PAYM,FPAYH                         
/CITI/XML/UNESCO/DC_V3_01     ,,ELEM,                              ,N_5438216620,AddtlInf                                          ,/CITI/XML/UNESCO/DC_V3_01,N_0428349720,PAYM,                              
/CITI/XML/UNESCO/DC_V3_01     ,,XMAT,WAERS                         ,N_5484337200,Ccy                                               ,/CITI/XML/UNESCO/DC_V3_01,N_7636717910,PAYM,FPAYHX                        
/CITI/XML/UNESCO/DC_V3_01     ,,XMAT,WAERS                         ,N_5485575790,Ccy                                               ,/CITI/XML/UNESCO/DC_V3_01,N_6979004900,PAYM,FPAYHX                        
/CITI/XML/UNESCO/DC_V3_01     ,,ELEM,VAT_STAT                      ,N_5493474290,Rate                                              ,/CITI/XML/UNESCO/DC_V3_01,N_0713295400,PAYM,FPAYHX                        
/CITI/XML/UNESCO/DC_V3_01     ,,ATOM,                              ,N_5523518640,POBoxCity                                         ,/CITI/XML/UNESCO/DC_V3_01,N_3747128920,PAYM,                              
/CITI/XML/UNESCO/DC_V3_01     ,,ELEM,                              ,N_5541821410,Rcrd                                              ,/CITI/XML/UNESCO/DC_V3_01,N_8573175080,PAYM,                              
/CITI/XML/UNESCO/DC_V3_01     ,,ELEM,                              ,N_5550014590,Nm                                                ,/CITI/XML/UNESCO/DC_V3_01,N_6528960200,PAYM,                              
/CITI/XML/UNESCO/DC_V3_01     ,,ATOM,                              ,N_5578037280,ZNME4                                             ,/CITI/XML/UNESCO/DC_V3_01,N_7583595070,PAYM,                              
/CITI/XML/UNESCO/DC_V3_01     ,CRDT,ATOM,                              ,N_5586315480,CRDT                                              ,/CITI/XML/UNESCO/DC_V3_01,N_5114717270,PAYM,                              
/CITI/XML/UNESCO/DC_V3_01     ,,ELEM,                              ,N_5588120730,Rcrd                                              ,/CITI/XML/UNESCO/DC_V3_01,N_8573175080,PAYM,                              
/CITI/XML/UNESCO/DC_V3_01     ,,ELEM,LALB17                        ,N_5605926060,Rate                                              ,/CITI/XML/UNESCO/DC_V3_01,N_9424460360,PAYM,FPAYHX                        
/CITI/XML/UNESCO/DC_V3_01     ,,ATOM,                              ,N_5616728300,RMTMTD_NULL                                       ,/CITI/XML/UNESCO/DC_V3_01,N_6801554330,PAYM,                              
/CITI/XML/UNESCO/DC_V3_01     ,,ELEM,                              ,N_5629362090,Id                                                ,/CITI/XML/UNESCO/DC_V3_01,N_5895092640,PAYM,                              
/CITI/XML/UNESCO/DC_V3_01     ,,ATOM,AUST1                         ,N_5636152150,AUST1                                             ,/CITI/XML/UNESCO/DC_V3_01,N_5550014590,PAYM,FPAYHX                        
/CITI/XML/UNESCO/DC_V3_01     ,,ELEM,PURP_PRTY                     ,N_5676862010,Prtry                                             ,/CITI/XML/UNESCO/DC_V3_01,N_4017073730,PAYM,FPAYHX                        
/CITI/XML/UNESCO/DC_V3_01     ,,ELEM,                              ,N_5713803370,Nm                                                ,/CITI/XML/UNESCO/DC_V3_01,N_0280208270,PAYM,                              
/CITI/XML/UNESCO/DC_V3_01     ,,ATOM,INSTEXT3                      ,N_5782848980,INSTEXT                                           ,/CITI/XML/UNESCO/DC_V3_01,N_2987560110,PAYM,FPAYHX                        
/CITI/XML/UNESCO/DC_V3_01     ,,ELEM,                              ,N_5794538930,Amt                                               ,/CITI/XML/UNESCO/DC_V3_01,N_2171367540,PAYM,                              
/CITI/XML/UNESCO/DC_V3_01     ,,ELEM,                              ,N_5795728220,Othr                                              ,/CITI/XML/UNESCO/DC_V3_01,N_7897787810,PAYM,                              
/CITI/XML/UNESCO/DC_V3_01     ,,ELEM,LALA13                        ,N_5810588830,AddtlInf                                          ,/CITI/XML/UNESCO/DC_V3_01,N_3432873370,PAYM,FPAYHX                        
/CITI/XML/UNESCO/DC_V3_01     ,,ELEM,ZNME2                         ,N_5812076180,AdrLine                                           ,/CITI/XML/UNESCO/DC_V3_01,N_2368849090,PAYM,FPAYH                         
/CITI/XML/UNESCO/DC_V3_01     ,,ATOM,INSINFO4                      ,N_5813474490,INSINFO                                           ,/CITI/XML/UNESCO/DC_V3_01,N_8921264300,PAYM,FPAYHX                        
/CITI/XML/UNESCO/DC_V3_01     ,,ELEM,                              ,N_5821288960,EndToEndId                                        ,/CITI/XML/UNESCO/DC_V3_01,N_0996765750,PAYM,                              
/CITI/XML/UNESCO/DC_V3_01     ,PO BOX,ATOM,                              ,N_5842785590,POBOX                                             ,/CITI/XML/UNESCO/DC_V3_01,N_3825417170,PAYM,                              
/CITI/XML/UNESCO/DC_V3_01     ,,ELEM,                              ,N_5865205270,Othr                                              ,/CITI/XML/UNESCO/DC_V3_01,N_3562799530,PAYM,                              
/CITI/XML/UNESCO/DC_V3_01     ,WHT,ELEM,                              ,N_5879450750,Tp                                                ,/CITI/XML/UNESCO/DC_V3_01,N_4306264090,PAYM,                              
/CITI/XML/UNESCO/DC_V3_01     ,,ELEM,                              ,N_5895092640,Othr                                              ,/CITI/XML/UNESCO/DC_V3_01,N_9602790190,PAYM,                              
/CITI/XML/UNESCO/DC_V3_01     ,,ATOM,                              ,N_5899858930,ZNME2                                             ,/CITI/XML/UNESCO/DC_V3_01,N_7583595070,PAYM,                              
/CITI/XML/UNESCO/DC_V3_01     ,POFICHBE,ATOM,                              ,N_5914980690,ESR                                               ,/CITI/XML/UNESCO/DC_V3_01,N_8297003060,PAYM,                              
