proj_id,project_name,risk_class,n_funds,total_postings,funds_with_avc,funds_earmarked,funds_full_10digit_match,fund_types,fund_list
00013431,Closing the digital divide: gender-trans,A,1,150,1,1,1,105,580GLO1004
00013454,Enhancing disability policy coordination,A,1,149,1,1,1,105,549GRE3000
00013173,JPO [Japan] for Culture and Emergencies,A,1,148,1,1,1,103,810GLO4007
00013455,Support Moe Nicaragua Early Childhood Te,A,1,148,1,1,1,107,727NIC1000
00013913,IOC Capacity Development,A,1,146,1,1,1,104,191ICD2043
00013647,Programme of emergency assistance for Be,A,1,145,1,1,1,104,473LEB1001
00013658,Citizen Science as a tool for Landscape,A,1,142,1,1,1,105,513RAF2043
00012877,"Support for artists, culture professiona",A,1,141,1,1,1,104,473UKR4001
00012883,Capacity building for the Preservation o,A,1,139,1,1,1,105,526MOR5000
00012976,African Women in Tech and AI,A,1,139,1,1,1,105,570RAF0003
00013940,UN Decade of Ocean Science for Sustainab,A,1,139,1,1,1,104,193UND2043
00012945,"Global study on economic, fiscal and soc",A,1,137,1,1,1,105,570GLO1033
00013414,KFIT Digital Creativity Lab II,A,1,137,1,1,1,105,526INT4004
00013175,JPO Qatar Communications Officer for the,A,1,136,1,1,1,103,822GLO4001
00013250,UNESCO German JPO 2024/2025,A,1,133,1,1,1,103,808GLO4005
00013047,JPO (Denmark) for Climate Change and Mit,A,1,131,1,1,1,103,801GLO2000
00013294,Engager les acteurs locaux pour sauvegar,A,1,131,1,1,1,105,570TUN4000
00013461,Regional Promotion of Equitable Educatio,A,1,131,1,1,1,109,941THA1003
00014028,Special account for the support of the C,A,1,131,1,1,1,104,495GLO4643
00013851,Economic empowerment through community-b,A,1,128,1,1,1,105,549AFG1000
00013308,"Gaza Special Account - Programme Design,",A,1,127,1,1,1,104,473PAL0001
00012220,Al Capacity Building in Arabic-speaking,A,1,124,1,1,1,105,570RAB1013
00013275,Monitoring tangible and intangible cultu,A,1,124,1,1,1,104,473PAL4000
00013736,Protection of the rights of indigenous c,A,1,123,1,1,1,105,218BRA2000
00013295,JPO China 2024 -Teacher Development,A,1,122,1,1,1,103,821GLO1005
00013407,Promoting Creativity in Education throug,A,1,122,1,1,1,105,570GLO1037
00013252,Soil conference - Rooted in Resilience:,A,1,120,1,1,1,104,406GLO2049
00013806,Inclusive STEM Ecosystems and Best Pract,A,1,120,1,1,1,105,525GLO2002
00013107,Outcome 1: Multi-Donor Prog. on Freedom,A,1,117,1,1,1,104,408FOE5042
00013263,Azerbaijan JPO in World Heritage Centre,A,1,117,1,1,1,103,819RER4000
