fund,fund_type,fund_desc,wbs_objnr,wbs_posid,wbs_post1,link_tier,ps_pool_2026,fm_pool_2026_min,fm_blocking_bucket,state,deficit_severity_rank,postings_count_2024_26,wbs_fund_count
221PRC1002,108,,PR00059683,221PRC1002.1,Produit I :  Promouvoir l’amélioration d,HARD,67484.34,89.62,BRV/20,ALIGNED,8148,4,1
221PRC1002,108,,PR00059684,221PRC1002.2,Produit II : SoutPenir l'amélioration de,HARD,54761.02,284.28,BRV/50,ALIGNED,8651,15,1
221PRC1002,108,,PR00059685,221PRC1002.3,Coordination et suivi du projet,HARD,6376.01,-10164.4,BRV/13,FM-EXHAUSTED,865,28,1
221PRC4000,108,,PR00053990,221PRC4000,Top WBS: Fond d'adaptation,HARD,233117.57,1637.8,BRV/40,ALIGNED,9672,1,1
221PRC4000,108,,PR00053991,221PRC4000.1,Renforcement,HARD,66723.63,30160.47,BRV/30,ALIGNED,11209,27,1
221PRC4000,108,,PR00053992,221PRC4000.2,Sensibilisation,HARD,12937.21,1637.8,BRV/40,ALIGNED,9673,250,1
221PRC4000,108,,PR00053993,221PRC4000.3,Gestion,HARD,10350.73,1637.8,BRV/40,ALIGNED,9674,100,1
221RAS3002,108,,PR00049464,221RAS3002,Top WBS: Conducting UNESCO's AI Readines,HARD,0.0,0.0,,BOTH-EXHAUSTED,2786,1,1
221RAS3002,108,,PR00049465,221RAS3002.1,Outcome N°1: Target countries' stakehold,HARD,0.0,0.0,,BOTH-EXHAUSTED,2787,31,1
221RAS3002,108,,PR00049466,221RAS3002.2,Outcome N°2: Target Countries' stakehold,HARD,0.0,0.0,,BOTH-EXHAUSTED,2788,16,1
221RAS3002,108,,PR00049467,221RAS3002.3,Coordination and administration,HARD,0.0,0.0,,BOTH-EXHAUSTED,2789,2,1
2230833091,004,,PR00003811,7,,DERIVED-MULTI,0.0,0.0,,BOTH-EXHAUSTED,2790,2,2
230RAS2005,108,,PR00041870,230RAS2005,Strengthening Tsunami Early Warning in t,HARD,0.0,0.0,,BOTH-EXHAUSTED,2791,1,1
230RAS2006,108,,PR00046980,230RAS2006,Strengthening tsunami early warning in t,HARD,0.0,0.0,,BOTH-EXHAUSTED,2792,6,1
230RAS2006,108,,PR00046985,230RAS2006.1.1,Staff,HARD,0.0,0.0,,BOTH-EXHAUSTED,2793,29,1
230RAS2006,108,,PR00046986,230RAS2006.1.2,Travel,HARD,0.0,0.0,,BOTH-EXHAUSTED,2794,46,1
230RAS2006,108,,PR00046987,230RAS2006.1.3,Contractual Services,HARD,0.0,0.0,,BOTH-EXHAUSTED,2795,28,1
230RAS2006,108,,PR00046988,230RAS2006.1.4,Supplies,HARD,0.0,0.0,,BOTH-EXHAUSTED,2796,15,1
230RAS2006,108,,PR00046989,230RAS2006.1.5,General Operating Direct Cost,HARD,0.0,0.0,,BOTH-EXHAUSTED,2797,7,1
230RAS2006,108,,PR00046990,230RAS2006.2.1,Staff,HARD,0.0,0.0,,BOTH-EXHAUSTED,2798,31,1
230RAS2006,108,,PR00046991,230RAS2006.2.2,Travel,HARD,0.0,0.0,,BOTH-EXHAUSTED,2799,39,1
230RAS2006,108,,PR00046992,230RAS2006.2.3,Contractual Services,HARD,0.0,0.0,,BOTH-EXHAUSTED,2800,44,1
230RAS2006,108,,PR00046993,230RAS2006.2.4,Supplies,HARD,0.0,0.0,,BOTH-EXHAUSTED,2801,3,1
230RAS2006,108,,PR00046994,230RAS2006.2.5,General Operating Direct Cost,HARD,0.0,0.0,,BOTH-EXHAUSTED,2802,9,1
230RAS2006,108,,PR00046995,230RAS2006.3.1,Staff,HARD,0.0,0.0,,BOTH-EXHAUSTED,2803,16,1
230RAS2006,108,,PR00046997,230RAS2006.3.3,Contractual Services,HARD,0.0,0.0,,BOTH-EXHAUSTED,2804,38,1
230RAS2006,108,,PR00046999,230RAS2006.3.5,General Operating Direct Cost,HARD,0.0,0.0,,BOTH-EXHAUSTED,2805,38,1
230RAS2006,108,,PR00047002,230RAS2006.4.3,Contractual Services,HARD,0.0,0.0,,BOTH-EXHAUSTED,2806,6,1
230RAS2007,108,,PR00057107,230RAS2007,Top WBS: Strengthening tsunami early war,HARD,335541.24,171060.24,JAK/REVENUE,ALIGNED,11471,1,1
230RAS2007,108,,PR00057111,230RAS2007.1.1.2,1.2. Travel,HARD,2351.93,8341.65,JAK/20,ALIGNED,9932,1,1
230RAS2007,108,,PR00057112,230RAS2007.1.1.3,1.3. Contractual Services,HARD,429.35,8341.65,JAK/20,ALIGNED,8896,1,1
230RAS2007,108,,PR00057117,230RAS2007.1.2.2,2.2. Travel,HARD,12780.13,8341.65,JAK/20,ALIGNED,10685,1,1
