wbs_objnr,wbs_posid,wbs_post1,fund,fund_type,fund_count_on_wbs,fund_consumption_2024_26,total_consumption_2024_26,fund_share_pct,postings_count_2024_26
PR00000109,4,Major Programme 4 (Culture),2210571031,013,369,6018.07,20047784.84,0.03,1
PR00000109,4,Major Programme 4 (Culture),2210572011,002,369,3.43,20047784.84,0.0,2
PR00000109,4,Major Programme 4 (Culture),2210572021,002,369,2649.16,20047784.84,0.01,28
PR00000109,4,Major Programme 4 (Culture),2210572061,001,369,341.45,20047784.84,0.0,2
PR00000110,5,Major Programme 5 (Com & Information),2210611012,001,249,3.0,9479567.16,0.0,1
PR00000110,5,Major Programme 5 (Com & Information),2210612011,001,249,6.13,9479567.16,0.0,5
PR00000110,5,Major Programme 5 (Com & Information),2210614021,001,249,6.27,9479567.16,0.0,1
PR00000110,5,Major Programme 5 (Com & Information),2210621061,001,249,5.62,9479567.16,0.0,1
PR00000110,5,Major Programme 5 (Com & Information),2210622071,001,249,8.73,9479567.16,0.0,2
PR00000110,5,Major Programme 5 (Com & Information),2210632011,001,249,1.19,9479567.16,0.0,1
PR00000110,5,Major Programme 5 (Com & Information),2210634041,001,249,2.88,9479567.16,0.0,2
PR00000110,5,Major Programme 5 (Com & Information),2210641021,001,249,1870.83,9479567.16,0.02,8
PR00000110,5,Major Programme 5 (Com & Information),2210641031,001,249,5.68,9479567.16,0.0,1
PR00000110,5,Major Programme 5 (Com & Information),2210641042,001,249,2236.55,9479567.16,0.02,7
PR00000110,5,Major Programme 5 (Com & Information),2210642021,001,249,0.3,9479567.16,0.0,1
PR00000110,5,Major Programme 5 (Com & Information),2210642031,001,249,216.48,9479567.16,0.0,1
PR00000110,5,Major Programme 5 (Com & Information),2210642061,001,249,6.32,9479567.16,0.0,2
PR00000110,5,Major Programme 5 (Com & Information),2210642071,001,249,66.6,9479567.16,0.0,5
PR00000110,5,Major Programme 5 (Com & Information),2210643021,001,249,0.01,9479567.16,0.0,1
PR00000110,5,Major Programme 5 (Com & Information),2210644021,001,249,335.98,9479567.16,0.0,1
PR00000110,5,Major Programme 5 (Com & Information),2210644031,001,249,69.69,9479567.16,0.0,2
PR00000110,5,Major Programme 5 (Com & Information),2210651021,001,249,8458.18,9479567.16,0.09,3
PR00000110,5,Major Programme 5 (Com & Information),2210651031,001,249,37.08,9479567.16,0.0,1
PR00000110,5,Major Programme 5 (Com & Information),2210652011,001,249,10.72,9479567.16,0.0,1
PR00000110,5,Major Programme 5 (Com & Information),2210653011,001,249,6.36,9479567.16,0.0,1
PR00000110,5,Major Programme 5 (Com & Information),2210654011,001,249,1011.83,9479567.16,0.01,2
PR00000110,5,Major Programme 5 (Com & Information),2210654022,001,249,9.52,9479567.16,0.0,2
PR00000110,5,Major Programme 5 (Com & Information),2210661011,001,249,3.77,9479567.16,0.0,2
PR00000110,5,Major Programme 5 (Com & Information),2210661022,012,249,2669.48,9479567.16,0.03,3
PR00000110,5,Major Programme 5 (Com & Information),2210662021,001,249,7.62,9479567.16,0.0,3
PR00000110,5,Major Programme 5 (Com & Information),2210662041,001,249,8.73,9479567.16,0.0,2
