NODE_ID,PARENT_ID,TECH_NAME,NODE_TYPE,TREE_ID,VERSION,LEV,FIRSTCHILD_ID,LENGTH,MP_OFFSET,MP_SC_OFFSET,CV_RULE,TAB_KEYFLD,MP_SELECTION,DATA_TYPE,MP_SC_TAB,MP_SC_FLD,MP_EXIT_FUNC,MP_CONST,REF_NAME,MP_IF_TP,BROTHER_ID
N_4138520450,N_4754354180,Ctry,ELEM,/SEPA_CT_ICTP_ISO,000,000,,0000,000,000,,,2,C,FPAYHX,ZLISO,,,,1,
N_4266300820,N_9926185740,PstCd,ELEM,/SEPA_CT_ICTP_ISO,000,002,,0010,000,000,CL RP    X,,2,C,FPAYHX,REF01,,,,1,N_6311223610
N_4310311010,N_9099483080,Cd,ELEM,/SEPA_CT_ICTP_ISO,000,000,,0000,000,000,,,1,C,,,,SEPA,,,
N_4457909410,N_9961450310,InitgPty,ELEM,/SEPA_CT_ICTP_ISO,000,001,N_1761132200,0000,000,000,,,8,C,,,,,,,
N_4604210940,N_6289915400,DOC1R(1),ATOM,/SEPA_CT_ICTP_ISO,000,000,,0001,000,000,,,2,C,FPAYH,DOC1R,,,,1,N_8000297680
N_4754354180,N_4788773110,PstlAdr,ELEM,/SEPA_CT_ICTP_ISO,000,000,N_2790093090,0000,000,000,,,8,C,,,,,,,
N_4788773110,N_9145273120,Cdtr,ELEM,/SEPA_CT_ICTP_ISO,000,003,N_9218834580,0000,000,000,,,8,C,,,,,,,N_1114124980
N_4799051040,N_7493536070,REFERENCE2,ATOM,/SEPA_CT_ICTP_ISO,000,000,,0032,000,000,CL RP    X,1,2,C,DMEE_PAYD,TEXT,,,,3,N_0933751040
N_4864286940,N_3212123950,-,ATOM,/SEPA_CT_ICTP_ISO,000,000,,0001,007,000,CL,,1,C,,,,-,,,N_1374946860
N_4880705930,ROOT,CBIPaymentRequest,ELEM,/SEPA_CT_ICTP_ISO,000,001,N_6389156500,0000,000,000,,,8,C,,,,,,,
N_4907943150,N_3212123950,DD,ATOM,/SEPA_CT_ICTP_ISO,000,000,,0002,008,006,CL,,2,C,FPAYH,AUSFD,,,,1,
N_4946758140,N_9926185740,StrtNm,ELEM,/SEPA_CT_ICTP_ISO,000,002,,0060,000,000,CL RP    X,,2,C,FPAYH,ZSTRA,,,,1,N_4266300820
